File;TP;FP;FN;Precision;Recall;F1
p269_c2;34;1;17;0.9714285714285714;0.6666666666666666;0.7906976744186046
p270_c1;9;0;16;1.0;0.36;0.5294117647058824
p270_c2;5;0;26;1.0;0.16129032258064516;0.27777777777777773
p270_c3;2;0;17;1.0;0.10526315789473684;0.1904761904761905
p270_c4;38;0;34;1.0;0.5277777777777778;0.6909090909090909
p270_c5;4;2;54;0.6666666666666666;0.06896551724137931;0.125
p271_c1;26;5;11;0.8387096774193549;0.7027027027027027;0.7647058823529411
p271_c2;10;0;28;1.0;0.2631578947368421;0.4166666666666667
p271_c3;18;1;7;0.9473684210526315;0.72;0.8181818181818181
p272_c1;4;0;67;1.0;0.056338028169014086;0.10666666666666667
p272_c2;25;2;20;0.9259259259259259;0.5555555555555556;0.6944444444444444
p272_c3;10;2;27;0.8333333333333334;0.2702702702702703;0.4081632653061225
p273_c1;24;3;39;0.8888888888888888;0.38095238095238093;0.5333333333333333
p273_c2;12;1;6;0.9230769230769231;0.6666666666666666;0.7741935483870968
p274_c1;31;2;20;0.9393939393939394;0.6078431372549019;0.738095238095238
p274_c2;15;2;16;0.8823529411764706;0.4838709677419355;0.625
p275_c1;22;1;37;0.9565217391304348;0.3728813559322034;0.5365853658536585
p275_c2;0;1;8;0.0;0.0;0
p276_c1;43;10;14;0.8113207547169812;0.7543859649122807;0.7818181818181817
p276_c2;1;0;35;1.0;0.027777777777777776;0.05405405405405406
p277_c1;25;1;4;0.9615384615384616;0.8620689655172413;0.9090909090909091
p277_c2;0;1;15;0.0;0.0;0
p277_c3;4;1;31;0.8;0.11428571428571428;0.19999999999999998
p278_c1;21;1;35;0.9545454545454546;0.375;0.5384615384615384
p278_c2;45;5;27;0.9;0.625;0.7377049180327869
p278_c3;10;0;2;1.0;0.8333333333333334;0.9090909090909091
p279_c1;9;0;46;1.0;0.16363636363636364;0.28125
p279_c2;5;4;44;0.5555555555555556;0.10204081632653061;0.1724137931034483
p279_c3;0;1;25;0.0;0.0;0
p280_c1;0;0;53;0;0.0;0
p280_c2;1;0;14;1.0;0.06666666666666667;0.125
p281_c1;23;3;15;0.8846153846153846;0.6052631578947368;0.71875
p281_c2;29;2;20;0.9354838709677419;0.5918367346938775;0.7249999999999999
p281_c3;20;1;10;0.9523809523809523;0.6666666666666666;0.7843137254901961
p282_c1;5;3;53;0.625;0.08620689655172414;0.15151515151515152
p283_c1;13;0;65;1.0;0.16666666666666666;0.2857142857142857
p284_c1;2;0;56;1.0;0.034482758620689655;0.06666666666666667
p285_c1;12;2;61;0.8571428571428571;0.1643835616438356;0.2758620689655173
p285_c2;4;0;38;1.0;0.09523809523809523;0.17391304347826084
p289_c1;6;2;67;0.75;0.0821917808219178;0.14814814814814814
p289_c2;50;2;63;0.9615384615384616;0.4424778761061947;0.6060606060606062
p290_c1;9;2;78;0.8181818181818182;0.10344827586206896;0.18367346938775508
p290_c2;14;4;63;0.7777777777777778;0.18181818181818182;0.2947368421052632
p291_c1;43;1;65;0.9772727272727273;0.39814814814814814;0.5657894736842105
p291_c2;4;0;3;1.0;0.5714285714285714;0.7272727272727273
p292_c1;8;1;59;0.8888888888888888;0.11940298507462686;0.2105263157894737
p292_c2;4;1;17;0.8;0.19047619047619047;0.3076923076923077
p293_c1;31;0;64;1.0;0.3263157894736842;0.49206349206349204
p293_c2;16;1;26;0.9411764705882353;0.38095238095238093;0.5423728813559321
p297_c1;18;0;62;1.0;0.225;0.36734693877551017
p297_c2;3;2;20;0.6;0.13043478260869565;0.21428571428571427
p298_c1;25;5;24;0.8333333333333334;0.5102040816326531;0.6329113924050633
p298_c2;22;3;21;0.88;0.5116279069767442;0.6470588235294118
p309_c1;29;3;40;0.90625;0.42028985507246375;0.5742574257425742
p309_c2;21;2;39;0.9130434782608695;0.35;0.5060240963855421
p311_c1;18;3;20;0.8571428571428571;0.47368421052631576;0.6101694915254237
p311_c2;26;5;21;0.8387096774193549;0.5531914893617021;0.6666666666666666
p311_c3;18;6;10;0.75;0.6428571428571429;0.6923076923076924
p312_c1;48;1;42;0.9795918367346939;0.5333333333333333;0.6906474820143884
p312_c2;15;2;18;0.8823529411764706;0.45454545454545453;0.6
p315_c1;21;6;32;0.7777777777777778;0.39622641509433965;0.525
p315_c2;1;0;35;1.0;0.027777777777777776;0.05405405405405406
p318_c1;30;0;16;1.0;0.6521739130434783;0.7894736842105263
p320_c1;2;0;21;1.0;0.08695652173913043;0.16
p320_c2;8;4;7;0.6666666666666666;0.5333333333333333;0.5925925925925926
p322_c1;4;1;32;0.8;0.1111111111111111;0.19512195121951217
p322_c2;8;0;45;1.0;0.1509433962264151;0.26229508196721313
p322_c3;12;1;11;0.9230769230769231;0.5217391304347826;0.6666666666666667
p324_c1;43;7;12;0.86;0.7818181818181819;0.819047619047619
p324_c2;14;3;22;0.8235294117647058;0.3888888888888889;0.5283018867924528
p326_c1;26;2;28;0.9285714285714286;0.48148148148148145;0.6341463414634146
p326_c2;14;8;20;0.6363636363636364;0.4117647058823529;0.5
p329_c1;14;0;84;1.0;0.14285714285714285;0.25
p329_c2;1;0;54;1.0;0.01818181818181818;0.03571428571428572
p329_c3;13;1;20;0.9285714285714286;0.3939393939393939;0.5531914893617021
p331_c1;32;5;46;0.8648648648648649;0.41025641025641024;0.5565217391304348
p331_c2;10;9;14;0.5263157894736842;0.4166666666666667;0.46511627906976744
p332_c1;4;0;24;1.0;0.14285714285714285;0.25
p332_c2;25;7;31;0.78125;0.44642857142857145;0.5681818181818182
p332_c3;17;2;32;0.8947368421052632;0.3469387755102041;0.5
p334_c1;1;0;49;1.0;0.02;0.0392156862745098
p334_c2;18;4;46;0.8181818181818182;0.28125;0.41860465116279066
p336_c1;12;0;83;1.0;0.12631578947368421;0.22429906542056077
p336_c2;1;0;22;1.0;0.043478260869565216;0.08333333333333333
p337_c1;17;5;39;0.7727272727272727;0.30357142857142855;0.43589743589743585
p337_c2;7;1;16;0.875;0.30434782608695654;0.4516129032258065
p338_c1;25;1;16;0.9615384615384616;0.6097560975609756;0.7462686567164178
p338_c2;17;2;29;0.8947368421052632;0.3695652173913043;0.5230769230769231
p341_c1;27;6;49;0.8181818181818182;0.35526315789473684;0.4954128440366972
p343_c1;25;3;9;0.8928571428571429;0.7352941176470589;0.806451612903226
p343_c2;23;1;14;0.9583333333333334;0.6216216216216216;0.7540983606557377
p343_c3;23;0;45;1.0;0.3382352941176471;0.5054945054945055
p343_c4;44;1;4;0.9777777777777777;0.9166666666666666;0.946236559139785
p347_c1;0;0;96;0;0.0;0
p352_c1;1;0;34;1.0;0.02857142857142857;0.05555555555555556
p352_c2;1;1;11;0.5;0.08333333333333333;0.14285714285714285
p352_c3;10;2;18;0.8333333333333334;0.35714285714285715;0.5
p353_c1;41;9;46;0.82;0.47126436781609193;0.5985401459854015
p353_c2;5;0;54;1.0;0.0847457627118644;0.15625
p353_c3;6;0;23;1.0;0.20689655172413793;0.34285714285714286
p361_c1;7;2;10;0.7777777777777778;0.4117647058823529;0.5384615384615384
p361_c2;6;0;18;1.0;0.25;0.4
p361_c3;7;0;20;1.0;0.25925925925925924;0.4117647058823529
p361_c4;7;1;4;0.875;0.6363636363636364;0.7368421052631579
p368_c1;26;4;19;0.8666666666666667;0.5777777777777777;0.6933333333333332
p368_c2;31;4;13;0.8857142857142857;0.7045454545454546;0.7848101265822784
p368_c3;4;4;9;0.5;0.3076923076923077;0.380952380952381
p372_c1;24;2;38;0.9230769230769231;0.3870967741935484;0.5454545454545454
p372_c2;61;4;49;0.9384615384615385;0.5545454545454546;0.6971428571428573
p377_c1;80;4;46;0.9523809523809523;0.6349206349206349;0.7619047619047619
p384_c1;11;5;9;0.6875;0.55;0.6111111111111112
p384_c2;11;8;19;0.5789473684210527;0.36666666666666664;0.44897959183673464
p392_c1;4;0;53;1.0;0.07017543859649122;0.13114754098360656
p392_c2;0;0;36;0;0.0;0
p396_c1;48;2;7;0.96;0.8727272727272727;0.9142857142857144
p396_c2;30;4;4;0.8823529411764706;0.8823529411764706;0.8823529411764706
p396_c3;17;1;1;0.9444444444444444;0.9444444444444444;0.9444444444444444
p397_c1;56;9;21;0.8615384615384616;0.7272727272727273;0.7887323943661972
p397_c2;31;6;12;0.8378378378378378;0.7209302325581395;0.7749999999999999
p401_c1;74;10;68;0.8809523809523809;0.5211267605633803;0.6548672566371682
p401_c2;9;2;8;0.8181818181818182;0.5294117647058824;0.6428571428571428
p406_c1;41;2;18;0.9534883720930233;0.6949152542372882;0.803921568627451
p406_c2;15;7;30;0.6818181818181818;0.3333333333333333;0.4477611940298507
p410_c1;29;2;28;0.9354838709677419;0.5087719298245614;0.6590909090909092
p410_c2;46;2;23;0.9583333333333334;0.6666666666666666;0.7863247863247863
p411_c1;41;2;24;0.9534883720930233;0.6307692307692307;0.7592592592592593
p411_c2;71;7;69;0.9102564102564102;0.5071428571428571;0.6513761467889908
p413_c1;0;0;85;0;0.0;0
